Article_Id,Article_Title,Article_Abstract_Text,Article_Keywords,Article_Year,Article_Authors,Article_Url
"11833","  INFLUENCE OF THE STRUCTURE ANIONACTIVE INHIBITORS CONTAINING NITROGEN ON  ANTICORROSIVE PROPERTY OF FATTY FILMS. BADANIA ELEKTROCHEMICZNE  I  KOROZYJNE ZWIĄZKÓW POWIERZCHNIOWO-CZYNNYCH.**1966, 4 S. MASZYN.// ","  ... ","    ","1966","  Tadeusz Pompowski  Zbigniew Klenowicz  Anna Iwaszkiewicz  Krystyna Zwierzak   ","   "
"11834","  KONKURS SARP 466 NA PROJEKTY REALIZACYJNE WIEJSKICH OŚRODKÓW USŁUGOWYCH  -WIEŚ BEZLEDY, WOJEWÓDZTWO OLSZTYŃSKIE. KOMUNIKAT SARP**1971  NR 1, 10 S. 6  RYS.// ","  ... ","    ","1971","  Andrzej Baranowski  Krystyna Krause-Baranowska  L. Jehkabson  W. Mokwiński  Zygmunt Schmidt  B. Skarżyński  Wieslaw Szuchnicki   ","   "
"11835","  COMPARISON OF DURABILITY OF PAINT SPRAYED METAL AND COMBINED COATINGS IN  INDUSTRIAL ATMOSPHERE CONTAINING SO2 AND AEROSOL OF H2SO4. PORÓWNANIE  TRWAŁOŚCI POWŁOK ORGANICZNYCH I KOMBINOWANYCH W WARUNKACH KOROZJI ATMOSFERYCZNEJ, WZANIECZYSZCZONEJ ATMOSFERZE PRZEMYSŁOWEJ.**1970, 10 S. 3 RYS. 2 TABL.  BIBLIOGR. 5 POZ. MASZYN.// ","  ... ","    ","1970","  Jerzy Jakobs  Zbigniew Klenowicz  E. Kulesza   ","   "
"11836","  OZNACZANIE MANNITALU W MORSZCZYNIE BAŁTYCKIM. PRZEM. SPOŻ.**1966 NR 7 S. 55,2 TABL. 2 WYKR.// ","  ... ","    ","1966","  Tadeusz Pompowski  P. Trokowicz   ","   "
"11837","  AN ACTION OF ANIONIC AND NONIONIC INHIBITORS IN PRESENCE OF CORROSION AGENTS UNDER COATINGS. OCENA ZDOLNOŚCI HAMOWANIA KOROZJI PODPOWŁOKOWEJ PRZEZ NIEJONOWE I ANIONOAKTYWNE ZWIĄZKI POWIERZCHNIOWO-CZYNNE.  W: ABSTRACTS OF THE  PAPERS OF THE CORROSION WEEK. BUDAPEST 1968 R. [BUDAPEST: METESZ]**1968 S. 65-1-2.// ","  ... ","    ","1968","  Zbigniew Klenowicz  Anna Malasiewicz  Tadeusz Pompowski   ","   "
"11838","  WYKORZYSTANIE W PRAKTYCE METODY ERGONOMII SYSTEMU. ZESZ. NAUK. P. GDAŃ.**1975 NR 238, EKONOMIA NR 13 S. 184-186 BIBLIOGR. 3 POZ.// ","  ... ","    ","1975","  Jerzy Grabosz   ","   "
"11839","  BADANIA MODELOWE TURBINY KAPLANA W UKŁADZIE KLASYCZNYM Z KOMPLETEM ŁOPATEK K650.**1968, 23 S. 1 RYS. A2, 1 WYKR. A2. MASZYN.// ","  ... ","    ","1968","  Wladyslaw Krzyzanowski   ","   "
"11840","  SUBOSTYMALNY ALGORYTM WYZNACZANIA ORGANIZACJI ZWARTEJ ZBIORU ZAPISOW. PR. INST. INFORMATYKI PAN**1977 NR 290, 19 S. 8 RYS. 8 TABL. BIBLIOGR. 8 POZ.// ","  ... ","    ","1977","  Janusz Górski   ","   "
"11841","  OCHRONA PRZED KOROZJĄ UKŁADU CHŁODZENIA SPRĘŻAREK TYPU C-70 FIRMY INGERSOLL-RAND. ITALIANA**1981, 22 S. 19 RYS. 2 TABL. MASZYN.// ","  ... ","    ","1981","  Wojciech Sokólski  Władysław Bohdanowicz  Andrzej Widuchowski  Antoni Bradtke   ","   "
"11842","  THE INFLUENCE OF POLAR INHIBITORS ON THE ELECTROCHEMICAL PROPERTIES OF TEMPORARY CORROSION PREVENTIVES. WPŁYW POLARNEGO INHIBITORA NA A WŁASNOŚCI  PREPARATÓW OLEJOWYCH, SŁUŻĄCYCH DO CZASOWEJ OCHRONY PRZED KOROZJĄ. CORR. SC.**1967 VOL. 7 NR 10 S. 665-672.// ","  ... ","    ","1967","  Tadeusz Pompowski  Zbigniew Klenowicz  Jerzy Jakobs   ","   "
"11843","  UBER UNSYMETRISCHE B-FLUOROBORAZINE. OTRZYMYWANIE NIESYMETRYCZNYCH  B-FLUOROBORAZYNÓW. MONATSH. CHEM.**1969 JG 100 S. 175-178, 1 TABL. BILIOGR. 17 POZ.// ","  ... ","    ","1969","  Anton Meller  Maria Wojnowska  H. Marecek   ","   "
"11844","  INVESTIGATION OF WORKING MECHANISM OF ANIONIC ACTIVE CORROSION INHIBITOR INALKYD COATINGS. BADANIE WŁASNOŚCI ŻYWICY ALKIDOWEJ ZAWIERAJĄCEJ POLARNY ORGANICZNY INHIBITOR KOROZJI. W: PROC. VIII-TH FATIPEC CONGRESS. HAGUE 1966. [B.M.W.]**1966 S. 294-298, 2 RYS. 2 TABL. 3 WYKR. BIBLIOGR. 15 POZ.// ","  ... ","    ","1966","  Tadeusz Pompowski  Zbigniew Klenowicz  Jerzy Jakobs   ","   "
"11845","  BADANIE SELEKTYWNOŚCI ROZKŁADU DITIZONIANU OŁOWIU W REWERSYJNO-DWUBARWNEJ METODZIE OZNACZANIA MIKROSTĘŻEŃ OŁOWIU I BIZMUTU. CHEM. ANAL.**1974 T. 19 Z. 1S. 63-72, 3 RYS. 3 TABL. BIBLIOGR. 21 POZ.// ","  ... ","    ","1974","  Barbara Kasterka   ","   "
"11846","  ON THE OPTIMAL ARRANGEMENT FOR CONSECUTIVE STORAGE OF OBJECTS. OPTYMALNE USZEREGOWANIE REALIZUJACE PRZECHOWYWANIE ZBIOROW JAKO ODCINKOW, PR. INST. INFORMATYKI PAN**1977 NR 279, 11 S. BIBLIOGR. 5 POZ.// ","  ... ","    ","1977","  Janusz Górski   ","   "
"11847","  MAGNETYCZNA STACJA DIAGNOSTYCZNA. CZ. II. UKŁAD KOMPENSACJI POLA MAGNETYCZNEGO ORAZ JEGO ZASTOSOWANIA W METROLOGII**1980, 57 S. 23 RYS. BIBLIOGR. 9 POZ.MASZYN.// ","  ... ","    ","1980","  Zygmunt Nagiełło   ","   "
"11848","  PRZYKŁAD ZASTOSOWANIA CYFROWEGO UKŁADU AUTOKOMPENSACJI  W  MAGNETOMETRZE. POMIARY**1975 R. 21 NR 11 S. 433, 2 RYS.// ","  ... ","    ","1975","  Zygmunt Nagiełło   ","   "
"11849","  PAMIĘĆ FERRYTOWA DO REJESTRACJI WYNIKÓW POMIAROWYCH. ZESZ. NAUK. P. GDAŃ.**1976 NR 247, ELEKTRYKA NR 37 S. 3-10, 5 RYS.// ","  ... ","    ","1976","  Zygmunt Nagiełło  Marian Galek  Jan Lewandowski   ","   "
"11850","  OPRACOWANIE I WYKONANIE PROTOTYPU ''ASTA'' DO WYKONANIA ZAGRZANYCH ŁOŻYSK TABORU KOLEJOWEGO. I.**1980. ZLEC.: MINISTERSTWO KOMUNIKACJI W WARSZAWIE.// ","  ... ","    ","1980","  Zbigniew Dwornikiewicz  Ryszard Krajewski  Andrzej Plotka  Boguslaw Hefczyc  Jacek Kozaka  Miron Karolczak  Ryszard Musial  Henryk Wawrzyniak   ","   "
"11851","  SPEKTROFOTOMETRYCZNE OZNACZANIE ŻELAZA W CZYSTYM SELENIE METODAMI O-FENANTROLINOWA ORAZ KOMPLEKSU MIESZANEGO FERROINY Z ORANŻEM METYLOWYM. CHEM. ANAL.**1973 T. 18 Z. 4 S. 879-885, 2 RYS. 1 TABL. BIBLIOGR. 11 POZ.// ","  ... ","    ","1973","  Barbara Kasterka  J. Weppe   ","   "
"11852","  INFORMATOR. ZAOCZNO-STACJONARNY KURS ''ORGANIZACJI TRANSPORTU SAMOCHODOWEGO''.**1974, 3 S. MASZYN.// ","  ... ","    ","1974","  Iwona Zysnarska   ","   "
"11853","  KURS ''GOSPODARKA MATERIAŁOWA''.A. PROGRAM RAMOWY.**1974, 10 S. MASZYN.// ","  ... ","    ","1974","  Iwona Zysnarska   ","   "
"11854","  LABORATORIUM MASZYN ELEKTRYCZNYCH. CZ. I.(DLA SEMESTRU V WYDZIALU ELEKTRYCZNEGO). GDANSK: P. GDAN.**1981, 118 S. 48 RYS. 2 TABL. BIBLIOGR. 5 POZ.// ","  ... ","    ","1981","  Zdzislaw Manitius   ","   "
"11855","  OTRZYMYWANIE GAZOWYCH MIESZANEK WZORCOWYCH ZAWIERAJĄCYCH METAN. W: MATERIAŁY DOROCZNEGO ZJAZDU NAUKOWEGO POLSKIEGO TOWARZYSTWA CHEMICZNEGO, STOWARZYSZENIA INZYNIEROW I TECHNIKOW PRZEMYSLU CHEMICZNEGO ORAZ SYMPOZJUM MATERIALOW NIEORGANICZNYCH O SPECJALNYCH WLASNOSCIACH W GDANSKU W DNIACH 05-12.09.1981 R. GDANSK: PTCHEM.**1981, S. 153.// ","  ... ","    ","1981","  Jacek Namieśnik  Mieczysław Bownik  Edmund Kozłowski   ","   "
"11856","  ANALIZA ELEMENTARNA ZWIAZKÓW ORGANICZNYCH Z WYKORZYSTANIEM ŁANCUCHA METOD ZAAZĘBIAJACYCH SIĘ JEDNOCZESNYCH OZNACZEŃ. W: MATERIALY DOROCZNEGO ZJAZDU NAUKOWEGO POLSKIEGO TOWARZYSTWA CHEMICZNEGO, STOWARZYSZENIA INŻYNIERÓW I TECHNIKÓW PRZEMYSŁU CHEMICZNEGO ORAZ SYMPOZJUM MATERIAŁÓW NIEORGANICZNYCH O SPECJALNYCH WŁASNOSCIACH W GDANSKU W DNIACH 08-12.09.1981 R. GDANSK: PTCHEM.**1981 S. 144-145.// ","  ... ","    ","1981","  Edmund Kozłowski  Marek Biziuk   ","   "
"11857","  RAPORT Z PRAC NAD OPRACOWANIEM WYBRANYCH ZAGADNIEN DOTYCZACYCH SYSTEMU KIEROWANIA DYSPOZYTORSKIEGO I OPERATYWNEGO KIEROWANIA PRODUKCJA W MZRIP W PLOCKU.**1977,  114 S. 62 RYS. 11 TABL. BIBLIOGR. 13 POZ. MASZYN.// ","  ... ","    ","1977","  Jerzy Adamiec  Kazimierz Duzinkiewicz  Tadeusz Dyrga  Nadzieja Kostyk  Andrzej Megger  Franciszek Milkiewicz   ","   "
"11858","  BADANIA KOROZJI ZŁĄCZY SPAWANYCH WYKONANYCH W POZYCJI PIONOWEJ W STRUMIENIUWODY MORSKIEJ.**1965, 24 S. 32 RYS. 6 TABL. MASZYN. POWIEL.// ","  ... ","    ","1965","  Jadwiga Paszota   ","   "
"11859","  UNIWERSALNY MODEL ELEKTRYCZNEGO NAPĘDU STATKU. W: MATERIALY SYMPOZJUM ''AUTOMATYZACJA STATKU''.GDYNIA: WSM**1974, 3 S. 4 RYS.// ","  ... ","    ","1974","  Krzysztof Fagiewicz  Ryszard Krajewski   ","   "
"11860","  ALGORYTMY FAZOMIERZY KOINCYDENCYJNYCH. ARCH. AUTOM I TELEMECH.**1973 T.18 Z.3 S.355-368, 5 RYS. BIBLIOGR. 16 POZ.// ","  ... ","    ","1973","  Ryszard Krajewski   ","   "
"11861","  SEQUENTIAL PHASEMETERS. FAZOMIERZ SEKWENCYJNY. IEEE TRANS. INSTRUM. MEASUR.**1974 VOL.IM 23 NR 1 S.62-67, 7 RYS. BIBLIOGR. 4 POZ.// ","  ... ","    ","1974","  Ryszard Krajewski  Zenon Boguś   ","   "
"11862","  OZNACZANIE ŚLADOWYCH ZAWARTOŚCI LOTNYCH ZWIĄZKÓW CHLOROORGANICZNYCH W WODACH. W: MATERIALY DOROCZNEGO ZJAZDU NAUKOWEGO POLSKIEGO TOWARZYSTWA CHEMICZNEGO I STOWARZYSZENIA INŻYNIERÓW I TECHNIKÓW PRZEMYSŁU CHEMICZNEGO ORAZ SYMPOZJUM MATERIAŁÓW NIEORGANICZNYCH O SPECJALNYCH WŁASNOŚCIACH W GDAŃSKU W DNIACH 08-12.09.1981 R. GDANSK: PTCHEM**1981 S. 159// ","  ... ","    ","1981","  Ewa Sieńkowska-Zyskowska  Edmund Kozłowski   ","   "
"11863","  PROPAGACJA PĘKNIĘCIA ZMĘCZENIOWEGO W MODELU OŚRODKA WARSTWOWO-NIECIĄGŁEGO.**1980, 15 S. 9 RYS. 1 TABL. MASZYN. ZLEC.: MNSWIT.// ","  ... ","    ","1980","  Krzysztof Rosochowicz  Janusz Jagiello  Tadeusz Kolenda   ","   "
"11864","  PRZYBLIŻONA OCENA ODDZIAŁYWANIA DWÓCH SZCZELIN W RÓŻNYCH WARUNKACH WZAJEMNEGO USYTUOWANIA JAKO UPROSZCZONEGO MODELU OŚRODKA WARSTWOWO- NIECIĄGŁEGO**1980, 45 S. 29 RYS. 1 TABL. BIBLIOGR. 7 POZ. MASZYN.// ","  ... ","    ","1980","  Kazimierz Wituszynski  Krzysztof Rosochowicz  Piotr Szpindor   ","   "
"11865","  PORÓWNAWCZE BADANIA PROPAGACJI PRĘDKOSCI PĘKANIA ZMĘCZENIOWEGO METODĄ ELEKTRONOOPTYCZNĄ I METODĄ POWIERZCHNIOWYCH OBSERWACJI MAKROSKOPOWYCH.**1980, 6 S. 4 RYS. MASZYN.// ","  ... ","    ","1980","  Lech Nadolny   ","   "
"11866","  GENEZA DROBNYCH OGNISK PĘKANIA W OBSZARACH PRZEŁOMÓW ZMĘCZENIOWYCH I DORAŻNYCH ZŁĄCZ SPAWANYCH.**1980 15 S. 13 RYS. MASZYN.// ","  ... ","    ","1980","  Krzysztof Rosochowicz  Lech Nadolny   ","   "
"11867","  CYFROWY REJESTRATOR PRZEBIEGÓW SZYBKICH.**1980, 16 S. 3 RYS. MASZYN. ZLEC.:MNSZWIT.// ","  ... ","    ","1980","  Marian Sobiczewski   ","   "
"11868","  GRAFICZNA INTERPRETACJA DANYCH CHROMATOGRAFICZNYCH**1977, 12 S. 12 TABL. 4 WYKR. MASZYN.// ","  ... ","    ","1977","  Krystyna Sobolewska   ","   "
"11869","  PATENT. POLSKA, NR  79653. STATEK DO PRZEWOZU ŁADUNKOW MASOWYCH LUB PŁYNNYCH. POLITECHNIKA GDANSKA, GDANSK (POLSKA). WSPÓŁTW. WYNAL.: J. DOEFFER, S. WEWIORSKI, J. PACZEŚNIAK, W. WEŁNICKI, W. MILENUSZKIN. ZGLOSZ. NR P-158608 Z 03.11.1972. OPUBL. 16.02.**1976, 4 S. 2 RYS.// ","  ... ","    ","1976","  Jerzy Doerffer  Stefan Wewiorski  Jerzy Pacześniak  Wiesław Wełnicki  Walenty Milenuszkin   ","   "
"11870","  PATENT. POLSKA, NR  74247. SPOSÓB ŁĄCZENIA ELEMENTOW KADLUBA ŁODZI ZWŁASZCZARATUNKOWEJ Z TWORZYWA SZTUCZNEGO. POLITECHNIKA GDANSKA, GDANSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, J. MADEY. ZGLOSZ. P-151461 Z 4.11.1971. OPUBL. 20.02..**1975, 2.S 1 RYS.// ","  ... ","    ","1975","  Jerzy Doerffer  Jerzy Madey   ","   "
"11871","  PATENT TYMCZASOWY. POLSKA, NR  73652. URZĄDZENIE DO REMONTOWANIA STATKÓW. POLITECHNIKA GDAŃSKA, GDAŃSK(POLSKA). WSPÓŁTW. WYNAL. J.DOERRRER, A. KORNIAK, S. KUBSKI, L. PALASIK. ZGLOSZ. NR P-149344 Z 09.07.1971. OPUBL. 15.04.** 19 75, 3 S. 3 RYS.// ","  ... ","    ","1975","  Jerzy Doerffer  Adam Korniak  Stanislaw Kubski  Lucjan Palasik   ","   "
"11872","  PATENT TYMCZASOWY. POLSKA, NR  76510. ZBIORNIKOWIEC. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, W. MILENUSZKIN. ZGLOSZ. NR P-147098 Z 23.03.1971. OPUBL. 03.03.**1975, 2 S. 2 RYS.// ","  ... ","    ","1975","  Jerzy Doerffer  Walenty Milenuszkin   ","   "
"11873","  PATENT. POLSKA, NR  77128. POSZYCIE ZWŁASZCZA KADŁUBA OKRĘTU. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOEFFER, B. BIERNACKI, E. CZERWINSKI, G. MIZGIER, M. WILCZOPOLSKI. ZGŁOSZ. NR P-152483  Z  24.12.1971. OPUBL. 31.10.**1975, 4 S. 4 RYS.// ","  ... ","    ","1975","  Jerzy Doerffer  Bohdan Biernacki  Krzysztof Czerwiński  Grzegorz Mizgier  Michal Wilczopolski   ","   "
"11874","  PATENT. POLSKA, NR  67214. SPOSÓB ZAPOBIEGANIA POWSTANIU ODKSZTAŁCEN SPAWALNICZYCH PŁASKICH KONSTRUKCJI SPAWNYCH. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, S. KUBERA, T. BORZĘCKI, E. MAUSOLF, A. WOŁOSZYN. ZGLOSZ. NR P-144440 Z 16.02.1970. OPUBL. 31.01.**1973, 2 S.// ","  ... ","    ","1973","  Jerzy Doerffer  Stanislaw Kubera  Tadeusz Borzęcki  Eugeniusz Mausolf  Andrzej Wołoszyn   ","   "
"11875","  PATENT. POLSKA, NR  72777. URZĄDZENIE DO HAMOWANIA I STEROWANIA POMOCNICZEGO STATKÓW PRZY HAMOWANIU. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, W. MILENUSZKIN. ZGLOSZ. NR P-141212 Z 9.06.1970. OPUBL. 15..11.**1974, 4 S. 7 RYS.// ","  ... ","    ","1974","  Jerzy Doerffer  Walenty Milenuszkin   ","   "
"11876","  PATENT. POLSKA, NR  68437. SPOSÓB BUDOWY KADŁUBA STATKU I URZĄDZENIE DO STOSOWANIA TEGO SPOSOBU. ZJEDNOCZENIE PRZEMYSŁU OKRĘTOWEGO, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, R. ERBEL, S. KUBERA, L. PALASIK, S. SKROBOT. ZGŁOSZ. NR P-135931 Z 20.09.1969. OPUBL. 15.11.**1973, 2 S. 2 RYS.// ","  ... ","    ","1973","  Jerzy Doerffer  Ryszard Erbel  Stanislaw Kubera  Lucjan Palasik  Stanislaw Skrobot   ","   "
"11877","  ON THE DEPENDENCE OF ELECTRIC CONPUCTIVITY OF ORGANIC LIQUIDS ON TEMPERATURE. ZALEŻNOŚĆ PRZEWODNICTWA ELEKTRYCZNEGO CIECZY ORGANICZNYCH OD TEMPERATURY.. ACTA PHYS. POL.**1968 VOL. 34 NR 6 S. 1015-1018.// ","  ... ","  PRZEWODNICTWO ELEKTRYCZNE WPŁYW TEMPERATURY  ","1968","  Ignacy Adamczewski  Bronisław Jachym   ","   "
"11878","  NIEARRHENIUSOWSKIE PRZEBIEGI  LEPKOSCI I PRZEWODNICTWA ELEKTRYCZNEGO W ŻYWICY EPOKSYDOWEJ. ZESZ. NAUK. P. GDAN.**1967 NR 105, FIZYKA NR 1 S.61-68, 4 RYS.BIBLIOGR. 19 POZ.// ","  ... ","    ","1967","  Bronisław Jachym  Henryk Sodolski   ","   "
"11879","  OKREŚLANIE WILGOTNOŚCI METODĄ POMIARU STAŁEJ DIELEKTRYCZNEJ. ZESZ. NAUK. WSRW OLSZTYNIE**1961 NR 107, CHEMIA NR 11 S.127-131.// ","  ... ","    ","1961","  Jerzy Bukowski  Bronisław Jachym   ","   "
"11880","  PATENT. POLSKA, NR  82119. URZĄDZENIE SPUSZCZANIA SZALUP RATUNKOWYCH NA WODĘ. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, W. MILENUSZKIN. ZGLOSZ. P-149630 Z 24.07.1971. OPUBL. 31.05.**1976, 2 S. 4 RYS.RYS.// ","  ... ","    ","1976","  Walenty Milenuszkin  Jerzy Doerffer   ","   "
"11881","  PATENT. POLSKA, NR 101690. TRANSPORTER BAREK. POLITECHNIKA GDANSKA. GDANSK (POLSKA). WSPÓŁTW. WYNAL. S. WIEWIÓRSKI, J. DOERFFER, J. ZIÓŁKOWSKI, C. WIELGOSZ, J. KUŚMIEREK. ZGLOSZ. NR P-184376 Z 29.10.1975 OPUBL. 30.04.**1979, 2 S. 3 RYS.// ","  ... ","    ","1979","  Stefan Wewiorski  Jerzy Doerffer  Janusz Ziółkowski  Czeslaw Wielgosz  Jozef Kusmierek   ","   "
"11882","  PATENT. POLSKA, NR  78291. SPOSÓB BUDOWY STATKÓW Z DUŻYCH BLOKÓW ORAZ PÓŁDOK DO STOSOWANIA TEGO SPOSOBU. CENTRUM TECHNIKI WYTWARZANIA PRZEMYSŁU OKRĘTOWEGO ''PROMOR'', PRZEDSIEBIORSTWO PROJEKTOWO-TECHNOLOGICZNE, GDANSK (POLSKA). WSPÓŁTW. WYNAL. J. DOEFFER, B. SKRZYMOWSKI. H. WOJDAŁA. ZGLOSZ. P-157479 Z 28.08.1972. OPUBL. 30.10.**1975, 2 S. 2 RYS.// ","  ... ","    ","1975","  Jerzy Doerffer  Henryk Wojdala   ","   "
"11883","  PATENT.  POLSKA,  NR   89402. STATEK PODWODNY. POLITECHNIKA GDANSKA, GDANSK (POLSKA). WSPÓŁTW. WYNAL. J.DOERFFER, J. MADEY, A. SOBIBOROWICZ, L. KOBYLINSKI K. PAUL, M. KRĘŻELEWSKI. ZGLOSZ. NR P-165114 Z 08.09.1977. OPUBL.15.09.**1977, 4 S. 5 RYS.// ","  ... ","    ","1977","  Jerzy Doerffer  Jerzy Madey  Andrzej Sobiborowicz  Lech Kobyliński  Krzysztof Paul  Mieczysław Krężelewski   ","   "
"11884","  PATENT. POLSKA, NR  88943. SPOSÓB ZAPOBIEGANIA POWSTAWANIA ODKSZTAŁCEŃ SPAWALNICZYCH. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER M. KOLAGO, T. BORZĘCKI. ZGLOSZ. NR P-150337 Z 03.09.1971. OPUBL. 30.07.**1977, 2 S.// ","  ... ","    ","1977","  Jerzy Doerffer  Marian Kolago  Tadeusz Borzęcki   ","   "
"11885","  PATENT. POLSKA, NR 102514. URZĄDZENIE DO OTWIERANIA ELEMENTÓW POSZYCIA KADŁUBA ZWŁASZCZA DO OTWIERANIA GRUSZKI DZIOBOWEJ STATKU. POLITECHNIKA GDANSKA, GDANSK (POLSKA). WSPÓŁTW. WYNAL. J. DOERFFER, T. GERLACH, Z. ŻABINSKI, J. ZANDLER, W. GOZDAR, W. MILENUSZKIN. ZGLOSZ. NR P-183144 Z 05.09.1975. OPUBL. 15.06.**1979, 3 S. 4 RYS.// ","  ... ","    ","1979","  Jerzy Doerffer  Tadeusz Gerlach  Zygfryd Zabinski  Janusz Zandler  Wieslaw Gozdur  Walenty Milenuszkin   ","   "
"11886","  PATENT. POLSKA, NR 106757. URZĄDZENIE DO BADAŃ PODWODNYCH. POLITECHNIKA GDAŃSKA, GDAŃSK (POLSKA). WSPÓŁTW. WYNAL. L. ROWINSKI, B. BIERNACKI, J. DOERFFER, G. MIZGIER, A. NOWAK, M. SOMPOLSKI. ZGLOSZ. NR P-193872 Z 22.11.1976. OPUBL. 30.04.**1980, 4 S. 3 RYS.// ","  ... ","    ","1980","  Lech Rowiński  Bohdan Biernacki  Andrzej Nowak  Mieczyslaw Sompolski  Jerzy Doerffer  Grzegorz Mizgier   ","   "
"11887","  OPROGRAMOWANIE ANALIZY INFORMACJI WYBIERCZEJ W MODELU ECTT. [DOKUMENTACJA].**1981, 30 S. 2 RYS. MASZYN.// ","  ... ","    ","1981","  Alicja Czaplewska  Janina Rembowska  Ryszard Sobczak   ","   "
"11888","  IDENTYFIKACJA USŁUG I ABONENTÓW W MODELU ECTT.**1981, 47 S. 4 RYS. 30 TABL.MASZYN.// ","  ... ","    ","1981","  Janina Rembowska  Ryszard Sobczak   ","   "
"11889","  UCHYB FAZOMIERZY IMPULSOWYCH WYWOŁANY ADDYTYWNYM ZAKŁÓCENIEM GAUSSOWSKIM.ROZPR. ELEKTROT.**1977 T. 23 Z. 1 S.13-30, 9 RYS. BIBLIOGR. 28 POZ.// ","  ... ","    ","1977","  Ryszard Krajewski   ","   "
"11890","  BADANIA JAKOŚCI SEKWENCYJNEJ REGUŁY DECYZYJNEJ. ZESZ. NAUK. P. GDAŃ.**1964NR 62, ŁĄCZNOŚĆ NR 12 S. 35-53.// ","  ... ","    ","1964","  Zenon Boguś  Ryszard Krajewski   ","   "
"11891","  FAZOWY KOŁOWO-HIPERBOLICZNY SYSTEM NAMIAROWY ''POPRAD''.**1970// ","  ... ","    ","1970","  Jerzy Skrzela  Ryszard Krajewski  Jan Stolz   ","   "
"11892","  STATYSTYCZNE BADANIA MODELOWE KORELATORA KOINCYDENCYJNEGO I FAZOMIERZY  KOINCYDENCYJNYCH. ZESZ. NAUK. P. GDAŃ.**1974 NR 219, ELEKTRONIKA NR 32 S. 3-15, 14 RYS. BIBLIOGR. 7 POZ.// ","  ... ","    ","1974","  Zenon Boguś  Krzysztof Gerwin  Ryszard Krajewski   ","   "
"11893","  STATYSTYCZNA ANALIZA KORELATORA KOINCYDENCYJNEGO W UKŁADZIE KWADRATUROWYM.ARCH. AUTOM. I TELEMECH.**1973 T. 18 Z. 1 S. 81-96, 7 RYS. BIBLIOGR. 8 POZ.// ","  ... ","    ","1973","  Ryszard Krajewski   ","   "
"11894","  PRECYZYJNY FAZOMIERZ IMPULSOWY.**1977.// ","  ... ","    ","1977","  Ryszard Krajewski   ","   "
"11895","  MIERNIK FAZY TYPU A.5.2.**1970.// ","  ... ","    ","1970","  Jerzy Skrzela  Ryszard Krajewski  Jan Stolz   ","   "
"11896","  ATATECZNOŚĆ MASYWNYCH KONSTRUKCJI MORSKICH. WYTYCZNE PROJEKTOWANIA I  OBLI- CZEŃ  FUNDAMENTÓW BEZPOŚREDNICH.**1980,  126 S. 77  RYS. 24 TABL. BIBLIOGR.  22  POZ. MASZYN. ZLEC.: CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY   BUDOWNICTWA HYDROTECHNICZNEGO ''ENERGOPOL'' W WARSZAWIE.// ","  ... ","    ","1980","  Wiesław Odrobiński  Bohdan Zadroga  Bronislaw Potulski  Zbigniew Sikora   ","   "
"11897","  BADANIA MOŻLIWOŚCI ZASTOSOWANIA ELEKTROCHEMICZNEJ OCHRONY KOROZYJNEJ KLASYFIKATORÓW WSTĘGOWYCH.**1981, 33 S. 1 RYS. 1 TABL. 5 WYKR.  BIBLIOGR. 6 POZ. MASZYN.// ","  ... ","    ","1981","  Romuald Juchniewicz  Jerzy Walaszkowski  Wojciech Sokólski  Władysław Bohdanowicz  Andrzej Widuchowski   ","   "
"11898","  PRODUKTY KOROZJI FORMUJĄCE SIĘ NA STALACH WĘGLOWYCH W WYBRANYCH ŚRODOWISKACHKOROZYJNYCH. OCHR. PRZED KOROZ.**1981 T. 24 NR 7-8 S.193-195, 2 RYS. 2 TABL.BIBLIOGR. 12 POZ.// ","  ... ","    ","1981","  Jerzy Kamrowski   ","   "
"11899","  PROGNOZA I RZECZYWISTOSC W PROJEKTOWANIU NAPEDU STATKU.**1975, 13S. 4RYS. BIBLIOGR. 6 POZ. MASZYN. POWIEL.// ","  ... ","  ANALIZA BADANIA MODELOWE NAPEDY PROJEKTOWANIE WYNIKI BADAŃ  ","1975","  Andrzej Zborowski   ","   "
"11900","  WPŁYW DOMIESZEK RUTENU NA ANODOWE WŁASCIWOSCI OŁOWIU.**1981, 7 S. 2 RYS. 3 WYKR. BIBLIOGR. 8 POZ. MASZYN.// ","  ... ","  BADANIA MATERIAŁY ANODOWE OCHRONA KATODOWA  ","1981","  Romuald Juchniewicz  Jerzy Walaszkowski   ","   "
